0,1,2,3,4,5,6,7,8,9,10,11
62,394,575,1518,1128,187,129,1585,5179,71,269,483
167,1334,1900,4588,3718,621,386,5157,16401,247,821,1528
198,1744,2326,6137,4734,727,459,6451,21185,352,1063,1902
664,5309,7561,18880,14953,2383,1635,20592,67407,1047,3146,5969
602,4808,6851,16991,13210,1972,1399,18555,61110,975,2890,5265
108,870,1323,3215,2576,391,242,3487,11580,153,578,1029
66,370,532,1346,1093,160,114,1465,4771,66,217,410
606,4387,6541,16043,12606,1909,1359,17364,56727,907,2729,5042
1886,14539,20639,52538,40488,6416,4430,56321,185188,2863,8762,16238
110,827,1196,2844,2178,366,206,3083,10044,146,436,914
250,2004,2821,6977,5363,850,581,7489,24500,406,1219,2194
257,2220,2984,7543,5882,911,618,8144,26436,424,1262,2391
